Ver. 1.0					
double	double	double	double	double	double #
224	222	224	226	225	223
224	223	224	227	225	224
223	223	224	227	225	223
224	223	224	227	225	224
223	223	224	227	225	224
224	223	224	239	225	223
224	222	224	231	224	224
224	223	224	248	225	223
224	223	224	262	224	223
224	223	224	266	224	223
223	223	224	268	224	223
224	223	224	273	224	224
224	223	224	274	224	224
224	223	224	271	224	223
224	223	224	263	224	223
224	223	224	242	225	223
224	223	224	238	225	224
224	223	224	231	225	224
224	223	224	235	225	223
224	223	224	226	224	224
224	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	225	224
224	223	225	226	225	223
224	223	224	226	225	223
224	223	224	226	225	224
224	223	224	226	224	223
224	223	224	226	225	223
224	223	224	226	225	223
223	223	224	226	225	223
223	223	224	226	225	224
223	223	224	226	224	223
223	223	224	226	225	222
224	223	224	226	225	223
223	223	224	226	225	223
222	223	224	226	225	224
223	223	224	226	225	224
223	223	224	226	225	223
223	223	224	226	225	223
224	223	224	226	225	223
223	223	224	226	225	224
224	222	224	226	225	223
223	223	224	226	225	224
223	223	224	226	225	224
223	223	224	226	225	223
224	223	224	226	225	225
224	223	224	227	225	223
223	222	224	226	236	223
224	223	224	226	257	224
224	223	224	226	270	224
223	223	224	226	282	222
223	223	224	226	278	224
224	223	224	226	281	223
223	223	224	226	286	224
223	223	224	226	297	223
223	222	224	226	329	223
223	222	224	226	348	222
223	222	224	226	350	222
224	223	224	225	366	223
223	222	224	226	366	222
223	221	224	226	370	222
223	222	224	225	370	223
223	222	224	225	364	223
223	222	224	226	356	222
223	222	224	226	356	223
223	222	224	226	350	222
223	222	224	226	343	223
223	223	224	226	319	223
223	222	224	226	309	223
223	222	224	226	282	223
223	223	224	226	243	223
223	223	224	226	224	224
223	223	224	226	225	223
223	224	224	226	225	223
224	223	224	226	224	224
223	223	224	226	224	223
224	223	224	226	225	224
224	222	224	226	224	224
223	223	224	226	225	223
223	222	224	226	225	224
223	223	224	226	225	223
223	223	224	226	225	223
223	223	224	226	225	224
223	223	224	226	225	223
223	224	224	226	225	223
223	223	224	226	225	223
223	223	224	226	225	223
224	223	224	233	225	224
223	222	224	247	224	224
223	223	224	248	224	224
223	224	224	245	224	224
223	223	224	236	225	223
223	223	224	232	224	224
223	223	224	228	225	223
223	223	224	229	225	224
223	223	224	235	224	224
223	223	224	240	224	223
224	223	224	245	224	224
223	223	224	252	225	223
223	223	224	239	224	223
224	223	224	237	225	223
224	225	224	241	224	224
223	223	224	240	225	223
224	223	224	248	225	224
223	223	224	252	225	223
224	223	224	264	224	223
224	223	224	271	225	223
224	223	224	277	224	223
224	223	224	275	224	223
224	223	224	277	224	223
224	223	224	304	224	223
224	222	224	322	224	223
224	222	224	326	224	222
224	222	224	316	224	223
224	224	224	295	224	223
224	223	224	271	224	223
223	223	224	271	224	224
224	223	224	277	224	223
224	223	224	284	224	223
224	222	224	325	224	223
223	222	224	323	224	223
224	222	224	323	224	223
224	222	224	342	224	222
224	223	224	348	223	223
224	222	224	354	225	223
224	222	223	393	224	222
224	222	223	383	224	223
225	223	224	381	224	223
224	222	224	384	224	223
224	222	224	382	223	223
224	222	224	385	224	222
224	222	223	381	224	223
224	222	224	385	224	222
225	222	224	372	224	223
224	222	224	366	224	223
224	222	224	371	224	222
224	222	224	367	224	223
224	222	224	368	224	223
223	222	224	348	224	223
223	222	224	347	224	223
224	222	224	331	225	222
224	223	224	332	224	223
224	222	224	309	224	223
224	223	224	300	224	223
224	223	224	284	224	223
223	223	224	267	225	223
223	223	224	253	225	224
224	223	224	226	225	224
223	223	224	226	225	223
223	223	224	226	224	224
223	224	224	226	225	223
224	223	224	226	225	223
223	223	224	226	225	224
224	223	224	226	225	224
224	222	224	226	225	223
223	223	224	226	225	224
224	223	224	226	225	223
224	223	224	226	225	224
224	223	224	226	225	223
224	222	224	226	225	224
224	222	224	226	225	223
224	224	224	226	225	223
224	223	224	226	225	223
224	223	224	226	225	223
224	223	224	227	225	223
224	222	224	229	225	224
224	223	224	247	225	224
224	223	224	249	224	224
224	223	224	281	224	223
224	223	224	293	224	223
224	222	224	306	224	224
224	222	224	317	225	223
224	222	224	331	224	223
224	223	224	337	224	223
224	223	224	355	224	222
224	222	224	362	224	222
224	222	224	363	224	222
224	222	224	369	224	222
224	222	224	376	224	223
224	222	223	406	224	222
224	222	223	442	223	222
223	222	223	463	223	222
224	221	223	487	223	221
224	221	222	498	223	222
224	221	223	504	224	222
224	222	223	501	223	222
224	222	223	489	223	222
224	221	223	479	223	222
224	221	223	482	223	221
224	222	223	438	224	222
224	222	223	412	224	222
223	222	223	412	224	222
224	222	224	408	224	222
224	222	224	388	224	222
224	222	223	401	224	223
224	221	223	406	224	222
224	222	224	388	224	223
224	223	224	377	224	222
224	222	224	394	224	223
224	222	223	405	224	222
224	222	223	413	223	222
224	221	223	424	224	222
224	222	223	431	224	222
224	222	223	434	224	222
224	222	223	451	223	222
223	222	223	478	223	222
224	221	223	495	223	222
224	221	222	521	223	222
223	222	223	548	223	222
224	222	223	564	224	222
225	222	224	579	224	222
224	222	224	587	224	223
224	222	224	592	224	223
224	222	224	590	224	223
224	222	224	589	224	223
224	222	224	586	224	222
224	222	223	554	224	222
224	222	223	550	223	223
224	222	223	500	223	222
224	222	223	467	223	222
224	222	223	423	223	222
224	222	223	387	224	222
224	223	224	347	224	223
224	222	224	331	225	223
224	223	224	301	224	223
224	223	224	281	224	223
224	223	224	269	224	223
225	223	224	243	225	223
224	223	224	258	225	223
224	222	224	257	225	223
224	223	224	250	224	223
224	223	224	260	225	223
223	223	224	294	224	223
224	223	224	282	224	223
225	222	224	284	224	223
224	223	224	263	224	223
224	222	224	275	225	223
224	223	224	288	224	223
224	223	224	253	224	223
224	223	224	256	224	223
224	223	224	256	224	224
224	223	224	237	225	223
224	223	224	230	225	223
224	223	224	227	225	224
224	223	224	230	225	223
224	223	224	231	225	223
224	223	224	226	224	224
224	222	224	237	225	223
224	223	224	239	224	223
224	223	224	234	225	223
224	223	224	231	224	223
224	223	224	230	225	224
224	223	224	226	225	223
224	222	224	226	225	224
224	223	224	226	225	223
224	223	224	227	225	223
223	223	224	237	225	224
224	223	224	239	225	224
224	223	224	254	224	224
224	222	224	254	225	224
224	222	224	266	224	223
224	223	224	266	224	224
224	223	224	263	225	223
224	223	224	266	224	224
224	223	224	265	224	223
224	223	224	254	224	223
224	222	224	244	224	223
224	223	224	243	225	223
224	223	224	251	225	223
225	223	224	251	225	223
224	223	224	250	224	223
224	223	224	243	225	224
224	222	224	240	224	224
224	224	224	236	225	223
224	223	224	231	225	224
224	223	224	232	225	223
224	223	224	229	225	223
224	223	224	229	225	224
224	223	224	231	224	223
224	224	224	230	225	224
224	223	224	231	225	223
224	223	224	237	225	223
224	223	224	240	225	223
223	223	224	248	224	224
223	223	224	263	224	223
223	222	224	292	224	223
223	223	224	289	224	223
223	222	224	311	224	223
223	223	224	320	225	223
223	222	224	327	224	223
